fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
,041,069,,,1,,01,1,47.9217,41.9075,42.7999,38.538,38.4003,38.2591,37.7589,37.9956,38.3023,39.8496,98.5453,86.1778,88.013,79.2487,78.9657,78.6754,77.6467,78.1334,78.7642,81.946,41.8722,36.6172,37.397,33.673,33.5528,33.4294,32.9923,33.1991,33.4672,34.8191,91.3745,108.7783,87.2093
,042,041,,,1,,01,1,4.5427,4.0461,4.4045,4.5846,4.8117,4.9205,4.9409,4.9307,4.8807,5.1064,12.7196,11.3291,12.3327,12.837,13.4729,13.7776,13.8346,13.8059,13.666,14.298,0.519,0.4622,0.5032,0.5238,0.5497,0.5621,0.5645,0.5633,0.5576,0.5834,12.0123,15.2424,14.1265
,042,042,,,1,,01,1,1.9711,1.7898,1.9522,2.023,2.3175,2.5788,2.8853,3.1022,3.3431,3.6911,5.5191,5.0114,5.4662,5.6644,6.4891,7.2207,8.0788,8.6862,9.3607,10.335,0.0941,0.0855,0.0932,0.0966,0.1107,0.1231,0.1378,0.1481,0.1596,0.1762,5.3136,6.7559,6.2334
,042,069,,,1,,01,1,46.8534,42.6081,44.8224,41.0397,42.7068,44.2543,44.1864,45.3764,46.1333,48.7636,121.7986,110.7626,116.5188,106.6854,111.0194,115.0421,114.8656,117.9591,119.9265,126.7642,40.6087,36.9292,38.8483,35.5698,37.0148,38.356,38.2971,39.3286,39.9845,42.2643,117.4418,144.0096,117.4021
,042,350,,,1,,01,1,2.5822,2.3026,2.5055,2.6557,3.2483,3.5718,3.6971,3.9262,4.121,4.3231,12.422,11.077,12.0529,12.7758,15.6264,17.1824,17.7852,18.8876,19.8247,20.797,1.6514,1.4726,1.6023,1.6984,2.0773,2.2842,2.3643,2.5109,2.6355,2.7647,11.745,14.8966,14.0591
,049,041,,,1,,01,1,1.158,0.9459,0.9852,0.9766,0.8845,0.8007,0.7336,0.6795,0.6343,0.6267,3.2425,2.6486,2.7585,2.7346,2.4767,2.242,2.0542,1.9026,1.7761,1.7547,0.2684,0.2193,0.2284,0.2264,0.205,0.1856,0.1701,0.1575,0.147,0.1453,2.8083,3.4093,3.0093
,049,042,,,1,,01,1,2.437,2.0293,2.1178,2.0901,2.0663,2.0353,2.0778,2.0734,2.1072,2.197,6.1612,5.1305,5.3542,5.2842,5.2239,5.1456,5.2532,5.242,5.3275,5.5543,0.6972,0.5805,0.6058,0.5979,0.5911,0.5822,0.5944,0.5931,0.6028,0.6285,5.4399,6.6174,5.815
,049,049,,,1,,01,1,0.3611,0.3542,0.3193,0.3106,0.3006,0.2851,0.2656,0.2513,0.238,0.2363,1.0109,0.9917,0.8939,0.8694,0.8416,0.7981,0.7435,0.7034,0.6663,0.6615,0.0309,0.0303,0.0273,0.0265,0.0257,0.0244,0.0227,0.0215,0.0203,0.0202,1.0515,1.1048,0.9567
,049,061,,,1,,01,1,112.4343,97.5708,101.8446,93.5392,95.2817,96.558,95.3532,95.4707,95.3597,98.3263,300.3378,260.634,272.0504,249.8647,254.5193,257.9285,254.7101,255.0242,254.7276,262.6521,61.2717,53.1718,55.5008,50.9747,51.9243,52.6198,51.9633,52.0273,51.9668,53.5835,276.3508,336.2364,274.9639
,049,321,,,1,,01,1,3.0163,2.5736,2.6799,2.4579,2.3987,2.3671,2.2612,2.2254,2.1725,2.2025,11.0954,9.467,9.8579,9.0415,8.8235,8.7072,8.3177,8.1861,7.9913,8.1018,1.5485,1.3213,1.3758,1.2619,1.2314,1.2152,1.1609,1.1425,1.1153,1.1307,10.0379,12.1837,9.9497
,049,350,,,1,,01,1,2.761,2.2579,2.3506,2.373,2.5046,2.4379,2.3025,2.2694,2.2465,2.2253,9.3146,7.6173,7.93,8.0055,8.4497,8.2246,7.7679,7.6562,7.5788,7.5075,1.6683,1.3643,1.4203,1.4338,1.5134,1.4731,1.3913,1.3713,1.3574,1.3447,8.0766,9.801,8.8097
,049,499,,,1,,01,1,7.779,6.3348,6.6739,6.7606,5.7624,4.8751,4.0673,3.5825,3.15,3.0131,22.0745,17.9764,18.9386,19.1846,16.352,13.8342,11.5417,10.166,8.9388,8.5503,5.8476,4.762,5.0169,5.0821,4.3317,3.6647,3.0574,2.693,2.3679,2.265,19.0604,23.4069,21.1117
,050,050,,,1,,01,1,3594.3823,3637.6292,3736.2434,3835.2112,4301.3535,4735.0127,5145.5063,5599.3125,6076.3203,6410.2856,4711.972,4768.6655,4897.9415,5027.681,5638.7595,6207.255,6745.382,7340.2885,7965.611,8403.415,121.2536,122.7125,126.0391,129.3777,145.1027,159.7318,173.5795,188.8882,204.9797,216.2458,5056.2261,6053.5326,5532.7169
,050,202,,,1,,01,1,4.2434,5.397,4.2428,4.2673,4.1362,3.8469,3.5901,3.3476,3.1679,3.2478,9.545,12.1399,9.5437,9.5988,9.3038,8.6531,8.0755,7.53,7.1258,7.3055,1.7892,2.2756,1.7889,1.7992,1.744,1.622,1.5137,1.4115,1.3357,1.3694,12.872,11.7954,10.563
