"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Europe","Missouri","Transport equip.","1.436500039223","0.821800011154","51.4014044968607","1.2220029677383","0.97860326264415","50.3855230965","75.9472","1.969100048286","1.909300047827","63.571732274242","78.5596","1.992700028582","1.928200047862","65.059825527842","81.4655"
"Europe","Missouri","Precision instruments","2.1956000003","1.2328000003","133.749099997","2.056799997","1.277399997","106.224900003","128.1995","1.467599997","0.849399997","76.246400003","96.3189","1.517099997","0.882099997","78.436800003","100.324"
"Europe","Missouri","Furniture","1.343000027","1.5101999759","7.805499974","1.462100144","1.111300515","6.37179705","7.3358","0.383397713","0.292500251","3.04640032","5.1248","0.389101083","0.297300691","3.08469507","5.2669"
"Europe","Missouri","Misc. mfg. prods.","3.335200006","3.6669000035","75.770302","3.243999976","3.1101000012","46.5492938","51.0346","1.679600965","1.616400624","62.441866","74.2619","1.7025","1.638999641","63.099886","75.6404"
"Europe","Missouri","Waste/scrap","7.3048","8.9955","45.3649","4.7854","4.0446","36.714","35.4725","1.8084","1.652","21.4443","20.6495","1.7032","1.5551","20.8184","14.7809"
"Europe","Missouri","Mixed freight","0.0156","0.0191","12.2653","0.0251","0.0268","21.9108","35.2598","0.0208","0.021","15.2584","23.6613","0.0202","0.0203","14.8597","22.499"
"Europe","Montana","Live animals/fish","1.6276","4.1353","20.9868","0.1934","0.5017","0.2832","0.3004","0.0036","0.0093","0.0025","0.0031","0.002","0.0053","0.0014","0.0015"
"Europe","Montana","Cereal grains","0.338","0.3311","0.1483","12.1053","30.7941","8.6201","7.7301","0","0","0","0","0","0","0","0"
"Europe","Montana","Other ag prods.","14.502","10.3174","9.5136","16.0264","13.0021","12.0498","12.396","23.2191","17.5948","19.3458","19.4116","22.3489","16.9087","18.5261","18.1349"
"Europe","Montana","Animal feed","0.0051","0.0082","0.1329","0.0004","0.0006","0.0022","0.0023","0.0001","0.0002","0.0176","0.0181","0.0001","0.0002","0.0175","0.0171"
"Europe","Montana","Other foodstuffs","0.0903","0.1444","2.3442","0.0637","0.1171","1.7895","1.8197","0.2474","0.545","8.0406","8.6111","0.2408","0.5302","7.827","7.874"
"Europe","Montana","Nonmetallic minerals","7.4319005","6.6466","1.86720026","3.16029962","3.3480001","3.50550005","5.6541","0.2767","0.5284","0.2487","0.2653","0.2324","0.4439","0.209","0.2305"
"Europe","Montana","Metallic ores","22.2732","17.5249","9.1959","15.7859","12.4206","6.5175","5.8304","2.7502","2.1639","1.1355","0.9766","2.7792","2.1867","1.1474","0.8662"
"Europe","Montana","Coal","1345.7858","3303.5507","70.4081","1099.1438","2698.1094","57.5044","56.6067","542.3443","1331.3128","28.3741","26.8306","507.0016","1244.5557","26.525","24.3418"
"Europe","Montana","Basic chemicals","6.4388","12.3098","49.0957","7.9823","10.7471","84.0191","82.4768","4.365","7.586","48.9518","46.3924","4.1337","7.2167","46.2875","38.5477"
"Europe","Montana","Pharmaceuticals","0.0066","0.0084","103.3504","0.004","0.0047","37.0833","39.0813","0.0047","0.0067","8.1274","9.085","0.0047","0.0071","8.2819","9.8941"
"Europe","Montana","Chemical prods.","0.0563","0.0912","1.5592","0.0557","0.0822","1.4081","1.3999","0.0836","0.1211","1.8508","1.8404","0.0841","0.1218","1.8752","1.8545"
"Europe","Montana","Plastics/rubber","0.115","0.1506","1.0611","0.0556","0.0779","1.151","1.171","0.0616","0.1097","0.9697","1.0065","0.0606","0.1077","0.9524","0.9399"
"Europe","Montana","Wood prods.","0.0003","0.0008","0.0091","0","0","0.0003","0.0003","0.0007","0.0019","0.0212","0.0236","0.0007","0.0018","0.0212","0.0232"
"Europe","Montana","Newsprint/paper","0.0001","0.0002","0.0018","0","0","0.0001","0.0001","0.0001","0.0003","0.0025","0.0027","0.0002","0.0004","0.0028","0.0029"
"Europe","Montana","Paper articles","0.001","0.0022","0.0269","0","0","0.0001","0.0001","0.0021","0.0049","0.0619","0.0639","0.0021","0.0049","0.0612","0.0632"
"Europe","Montana","Printed prods.","0.0107","0.0256","0.2021","0.0022","0.0057","0.0233","0.0233","0.0066","0.0155","0.1423","0.143","0.0066","0.0155","0.142","0.143"
"Europe","Montana","Textiles/leather","0.0377","0.0667","1.0067","0.0236","0.0433","0.8693","0.8784","0.041","0.0735","0.9697","0.9977","0.0407","0.0731","0.9649","0.9868"
"Europe","Montana","Nonmetal min. prods.","0.2757","0.4951","0.6755","0.1514","0.2533","8.7962","9.065","0.0002","0.0003","0.0058","0.0061","0.0002","0.0003","0.0058","0.0063"
"Europe","Montana","Base metals","0.047","0.0687","0.2927","0.0005","0.001","0.008","0.0076","0.0304","0.0422","0.1676","0.1603","0.033","0.0459","0.1687","0.146"
"Europe","Montana","Articles-base metal","0.669","1.0154","1.4482","0.0468","0.0568","1.0607","1.0593","0.0113","0.0164","0.1131","0.1136","0.0114","0.0164","0.1149","0.1149"
"Europe","Montana","Machinery","0.3244","0.5478","30.1543","0.6015","0.5131","21.5651","21.8289","0.5899","0.6028","23.9515","24.5724","0.5805","0.5979","23.9614","24.8024"
"Europe","Montana","Electronics","0.0076","0.0118","1.2438","0.0155","0.0252","4.1333","4.1244","0.02","0.0312","2.8444","2.835","0.0202","0.032","2.8888","2.8619"
