commodity,curval_total_exported,curval_total_imported,state,tmiles_total_exported,tmiles_total_imported,tons_total_exported,tons_total_imported,value_total_exported,value_total_imported
Nonmetallic minerals,,7.8307,Idaho,,309.5391,,267.9196,,7.3611
Paper articles,,1.1180999999999999,Idaho,,2.1178,,1.754,,1.0878999999999999
Plastics/rubber,18.8105,0.5660000000000001,Idaho,19.8009,0.4613999999999999,7.9297,0.218,18.5612,0.5578
Precision instruments,13.5557,12.0881,Idaho,0.0,0.569,0.0,0.4175,13.2954,11.8554
Tobacco prods.,,0.1051,Idaho,,0.00030000000000000003,,0.00030000000000000003,,0.0965
Alcoholic beverages,,1154.1382,Illinois,,2232.5718,,1021.829,,1126.5540999999998
Articles-base metal,352.4942,44.5283,Illinois,31.667099999999998,5.3004,58.494299999999996,12.445599999999999,352.1274,44.4812
Base metals,,234.8859,Illinois,,143.2698,,252.2169,,254.10100000000003
Basic chemicals,75.2667,13.472,Illinois,34.6521,1.236,44.441,3.0297,81.8934,14.6129
Crude petroleum,,2.8297999999999996,Illinois,,6.1487,,5.1232,,3.4326
Electronics,108.6003,38.2237,Illinois,2.7788,0.5281,6.585,3.4572,109.14410000000001,38.4144
Fertilizers,28.1038,6.429599999999999,Illinois,29.067699999999995,1.512,52.6575,1.0211999999999999,29.687599999999996,6.7829999999999995
Furniture,32.2825,102.91040000000001,Illinois,5.3322,17.1191,6.868499999999999,34.394000000000005,31.607699999999998,100.67960000000001
Gravel,,0.6134999999999999,Illinois,,45.079899999999995,,118.4751,,0.5795
Live animals/fish,18.1146,36.4761,Illinois,4.8068,1.3198,13.097999999999999,19.4357,16.0595,32.2617
Misc. mfg. prods.,5.992999999999999,121.1079,Illinois,1.2802000000000002,35.5353,1.5336999999999998,48.264700000000005,5.893400000000001,119.10690000000001
Mixed freight,63.5418,11.643699999999999,Illinois,31.548000000000002,0.6079,29.8268,0.7704,61.8655,11.3385
Motorized vehicles,18.18,827.0132000000001,Illinois,0.5022,2.9107765440000004,0.7846,2.0914323599999998,17.7459,98.08359455
Nonmetal min. prods.,16.4551,39.8451,Illinois,14.558300000000001,10.5423,13.125399999999999,130.32510000000002,15.5248,37.564
Other ag prods.,,22.0035,Illinois,,31.5032,,13.8325,,21.897599999999997
Pharmaceuticals,70.5869,5.0436,Illinois,0.00030000000000000003,0.2558,0.00030000000000000003,0.5502,62.908500000000004,4.4891000000000005
Plastics/rubber,125.64729999999999,0.9016,Illinois,10.8179,0.43250000000000005,18.9131,0.33140000000000003,123.93499999999999,0.8891
Precision instruments,254.54,0.7126,Illinois,0.6181,0.0006000000000000001,1.9169999999999998,0.00030000000000000003,249.56280000000004,0.6990000000000001
Printed prods.,87.6459,201.257,Illinois,15.176299999999998,105.7801,14.038699999999999,128.1509,87.2421,200.3381
Textiles/leather,2.8967,14.341899999999999,Illinois,1.3754,1.1692,1.2875999999999999,0.6189,2.8375000000000004,14.0475
Articles-base metal,,78.36019999999999,Indiana,,26.834799999999998,,39.6781,,78.2786
Base metals,429.6277,210.5014,Indiana,93.9079,41.306799999999996,425.0314,274.68129999999996,465.30420000000004,227.79610000000002
Basic chemicals,6.178599999999999,6.178599999999999,Indiana,0.7871,0.7871,4.457599999999999,4.457599999999999,6.7181,6.7181
Cereal grains,,1.5463,Indiana,,3.4158000000000004,,11.7147,,2.207
Chemical prods.,133.91219999999998,437.2903,Indiana,7.0435,21.435299999999998,25.0562,74.0719,134.9361,440.6188
Electronics,24.2414,16.1983,Indiana,0.6432000000000001,1.1928,0.9110000000000001,1.4714999999999998,24.362599999999997,16.280399999999997
Furniture,33.4554,9.0924,Indiana,7.1103000000000005,0.5590999999999999,8.9686,1.0051999999999999,32.7221,8.905100000000001
Misc. mfg. prods.,42.7064,3.2016,Indiana,35.4992,1.0267,20.016,0.6462,41.992599999999996,3.1491999999999996
Mixed freight,253.26100000000002,0.6791,Indiana,44.0018,0.23819999999999997,18.3262,0.2375,246.5867,0.6612
Motorized vehicles,754.0458000000001,68.3075,Indiana,1.5826765440000001,6.974100000000001,2.10703236,13.707500000000001,26.792694550000004,66.7384
Newsprint/paper,,14.0668,Indiana,,23.666900000000002,,35.5637,,13.4662
Nonmetallic minerals,,0.0023,Indiana,,0.08410000000000001,,0.046200000000000005,,0.002
Other foodstuffs,303.3278,62.2823,Indiana,129.6243,20.648,411.84580000000005,29.6747,294.2813,60.4173
Plastics/rubber,28.8811,5.6378,Indiana,3.0907999999999998,0.5851,1.3074999999999999,0.9328,28.488800000000005,5.558
Printed prods.,37.2303,73.5062,Indiana,4.5754,6.5245,8.529,3.9243,37.0608,73.1673
Textiles/leather,0.8512,0.44020000000000004,Indiana,0.34199999999999997,0.0006000000000000001,0.41280000000000006,0.00030000000000000003,0.8337,0.4312
Tobacco prods.,4.5192,4.5192,Indiana,0.0023,0.0023,0.17830000000000001,0.17830000000000001,4.1379,4.1379
Transport equip.,3.9981,21.0256,Indiana,0.0,0.1361,0.00030000000000000003,0.2876,3.8638,20.312
Wood prods.,,1.3429,Indiana,,0.1758,,0.2551,,1.2292
Base metals,,9.7705,Iowa,,1.108,,0.9468000000000001,,10.587
Basic chemicals,0.0249,53.097,Iowa,0.039099999999999996,211.437,0.0356,235.939,0.027,57.869699999999995
Chemical prods.,,136.9272,Iowa,,11.2878,,20.352800000000002,,137.97170000000003
Furniture,,0.9131,Iowa,,0.5012,,0.2453,,0.8935
Misc. mfg. prods.,12.986999999999998,67.6884,Iowa,1.587,0.0701,1.238,0.3664,12.7725,66.5703
Plastics/rubber,6.77,0.7744,Iowa,0.3294,1.7969,0.5811999999999999,1.4826,6.6796,0.7634
Printed prods.,,0.4712,Iowa,,0.10369999999999999,,0.1261,,0.46909999999999996
Animal feed,0.012100000000000001,0.012100000000000001,Kansas,0.0941,0.0941,0.4699,0.4699,0.011999999999999999,0.011999999999999999
Articles-base metal,9.8985,17.5847,Kansas,1.7523,5.6669,2.0679,5.0434,9.888300000000001,17.5667
Basic chemicals,,34.0719,Kansas,,15.9554,,13.031,,36.973200000000006
Chemical prods.,2.9776,9.4331,Kansas,0.08399999999999999,4.5352,0.2918,4.5733,3.0003,9.5047
Electronics,350.7579,350.7579,Kansas,7.0728,7.0728,30.65,30.65,352.54859999999996,352.54859999999996
Fertilizers,,124.8008,Kansas,,59.593799999999995,,281.31660000000005,,131.7628
Furniture,42.2998,45.4126,Kansas,2.5509999999999997,2.465,7.6469,8.822099999999999,41.4057,44.4515
Machinery,,3.0597000000000003,Kansas,,0.5942,,0.35660000000000003,,2.9859999999999998
Misc. mfg. prods.,33.120400000000004,24.383300000000002,Kansas,6.9575,2.2834,8.7604,2.2727,32.571200000000005,23.9759
Mixed freight,1.0417,0.031,Kansas,0.3451,0.0185,0.39369999999999994,0.0117,1.0143,0.0303
Motorized vehicles,106.77539999999999,0.1938,Kansas,19.578899999999997,0.1228,11.9397,0.0344,104.3169,0.1891
Other foodstuffs,45.276599999999995,50.271,Kansas,29.6967,20.4167,18.374,19.913300000000003,43.899300000000004,48.762
Paper articles,,520.9719,Kansas,,114.09470000000002,,851.0572,,506.9474
