,origin,dest,commodity,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tons_2012,tons_2013,tons_2014,tons_2015,value_2012,value_2013,value_2014,value_2015,curval_2013,curval_2014,curval_2015,value_total,tmiles_total,tons_total,curval_total
2089,,RI,Precision_instruments,21.707100049312004,25.73479896774198,26.45889940451198,27.746298670461968,15.28109670336999,17.143800830320007,17.72829998206998,18.534601749169987,1277.3539676319992,1341.1817880769993,1371.8220534710003,1427.4389703679994,1516.0443000000007,1547.5806999999993,1630.5814999999998,5417.796779548001,101.64709709202785,68.68779926493,5971.5604676320045
2090,,Rest of Americas,Precision_instruments,70.18901811013583,84.96998660374015,88.90112257785692,90.95154717886186,122.14892818389025,151.2534322263515,153.54612369974345,158.71247932972378,7663.517043500833,8687.343989487787,8497.964908352706,8752.176132501669,9381.940000000037,9315.723900000048,9680.352400000003,33601.002073842785,335.01167447059146,585.6609634397022,36041.53334350071
2091,,SC,Precision_instruments,76.62010600035046,87.26031439719543,92.24460891502629,96.72150921905988,91.41300875911891,105.22331534263758,113.23832625681428,119.16532786841123,3931.8467286146124,4113.792766273139,4473.011493913034,4666.822783698431,4502.913500000002,4947.832600000031,5225.192300000029,17185.473772499157,352.8465385316309,429.0399782269805,18607.7851286146
2092,,SD,Precision_instruments,10.383600042499994,9.834699984489983,9.69800007007999,9.830499950749992,8.872099970979992,8.619400025659985,8.525400003349995,8.661400002519994,355.0631048299997,362.5627030065999,355.4644026216002,362.4831094546995,366.8279000000001,362.24569999999966,373.2136999999996,1435.5733199128993,39.74680004782005,34.678300002510014,1457.35040483
2093,,SE Asia Oceania,Precision_instruments,66.33840938174103,92.36090178134941,92.12949904508709,93.99810722545759,83.87908087662359,103.42018125980891,101.88812117544795,104.67674839039901,7054.572922318071,7829.945441143587,7814.287292469134,7908.425529167944,9113.321300000007,9184.542499999983,9381.985200000021,30607.23118509866,344.8269174336309,393.8641317022748,34734.42192231805
2094,,SW Cent Asia,Precision_instruments,39.88999596781086,63.0583893751291,51.31870657422816,52.809804763820196,80.57157640230086,107.56287657267553,104.91848753041288,108.69174860060588,4837.281149090635,5688.225831332819,5850.383407661871,5946.990524180319,6906.159500000062,7048.953800000025,7226.749400000067,22322.88091226549,207.07689668098757,401.7446891059907,26019.1438490906
2095,,TN,Precision_instruments,380.6538080715339,395.06151008007356,413.6863106063717,427.799311421478,505.564609933653,520.8749127533266,545.8585116159768,563.6917123627006,13384.03582069161,14003.020270371875,15406.810753385093,15818.572130190907,14558.154399999985,16128.69459999999,16745.512099999938,58612.43897463936,1617.2009401794692,2135.9897466656803,60816.39692069167
2096,,TX,Precision_instruments,429.00205500040676,443.62574161100815,458.9579340229287,466.8199262595583,314.1311383011251,326.35843676787545,337.8737530365436,343.95645578832426,24671.606445283767,25551.17338439959,26376.027088363928,26657.675620009297,26253.135299999874,27361.031699999876,27942.79370000006,103256.4825380563,1798.4056568939202,1322.3197838938927,106228.5671452836
2097,,UT,Precision_instruments,73.90100174058006,73.32580186844011,77.23850166729018,78.98230092131014,61.233701370000155,61.439400567769184,64.57530138105915,66.34190140212323,2704.5327877825007,2535.737488403603,2695.81739228897,2722.6127918994816,2564.637100000003,2747.369700000001,2803.306800000003,10658.700460374566,303.4476061976205,253.59030472095148,10819.846387782503
2098,,VA,Precision_instruments,134.38650080502444,150.86699029491706,161.56675454091084,167.02418588893119,126.50542391671267,143.9809986109836,158.59663429096133,163.30522579714324,7348.947525687538,7840.584518900329,8419.89087599408,8785.876299490374,8818.026900000052,9661.25309999999,10140.052999999949,32395.299220072207,613.844431529781,592.3882826157982,35968.28052568746
2099,,VT,Precision_instruments,13.26993628666168,12.742436934299786,13.244136573536778,14.289934371179791,23.598743266102996,22.598713777694293,23.06943553308794,24.622565116928968,848.7660914932096,818.0415055831705,858.4340808092999,920.7668252327794,1268.7407999999996,1312.9419999999993,1406.5470000000025,3446.008503118463,53.54644416567814,93.88945769381431,4836.995891493197
2100,,WA,Precision_instruments,194.38440049692963,199.90749967395348,188.65490119163945,192.83020164481925,94.59069454694817,99.69519786313482,93.60909538048169,95.74030893101167,5279.447583671209,5535.3550028690815,5304.212548123457,5454.1649296478645,5875.737400000011,5692.334200000003,5910.4324000000015,21573.180064311528,775.7770030073353,383.6352967215721,22757.951583671216
2101,,WI,Precision_instruments,118.15335254130483,120.81096440230186,132.6611676683491,137.96487399557995,122.90307077601356,128.59202811170096,141.04927152844704,146.8907026554664,6144.202277493012,6689.311620569093,7282.29647529508,7587.095030329364,7790.881000000002,8601.2837,9084.779599999998,27702.905403686484,509.5903586075345,539.4350730716272,31621.146577492982
2102,,WV,Precision_instruments,22.414500056109993,22.436099663109985,22.93379997210999,23.67389980911,21.057399566339985,22.735896398449988,23.38020310422999,23.783599446340002,1327.6759752899998,1431.863293530001,1456.2585632900007,1482.7580132899993,1451.950300000001,1486.4370000000006,1529.2318,5698.5558454,91.45829950043999,90.95709851536002,5795.295075289995
2103,,WY,Precision_instruments,11.575899999999992,11.264599999999994,11.458600000000002,11.353799999999994,10.811599999999999,10.653699999999994,10.894399999999987,10.876699999999989,376.4160000000004,361.8336000000003,359.5832,360.1351000000002,378.41639999999995,371.16140000000007,375.87530000000015,1457.9679000000015,45.65290000000004,43.236400000000025,1501.8691
2104,,AK,Printed_prods,66.34460000000003,63.97660000000004,63.24520000000006,62.7756000000001,18.94509999999995,18.356899999999975,18.26579999999996,18.26049999999996,244.12829999999994,227.97460000000018,219.6834999999999,216.55540000000008,228.85690000000014,220.8645,217.97169999999994,908.3418000000003,256.3420000000001,73.82830000000006,911.8214
2105,,AL,Printed_prods,184.48270470497556,195.08290544207614,176.46430442962554,174.55250475827808,276.7985020000055,288.85400232728887,252.91220187622602,249.11890202024594,1087.9363068345347,1172.1023082458448,1096.901106656631,1084.742006908401,1184.4425999999994,1108.7931999999996,1098.1476999999993,4441.681728645418,730.5824193349532,1067.6836082237658,4479.319806834539
2106,,AR,Printed_prods,93.78440000000013,109.11110000000014,102.11040000000014,100.48210000000007,108.3666000000001,124.50510000000011,116.50220000000009,113.84120000000011,815.6782000000004,934.9895999999995,882.1711999999995,852.4665000000003,938.3156999999994,886.9413000000002,858.1197000000003,3485.3054999999995,405.4879999999999,463.21510000000006,3499.054899999998
