orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Arizona,Canada,Building stone,0.5601,0.9366,0.0873,0.2044,0.3418,0.0319,0.1681,0.2811,0.0261,0.1864,0.3118,0.0291
Arizona,Canada,Natural sands,38.5894,73.3453,0.8608,2.9878,6.0894,0.0665,3.0253,6.1663,0.0675,2.9407,5.992,0.0654
Arizona,Canada,Gravel,5.4148,11.6012,0.0603,8.9706,19.5289,0.0997,9.1418,19.9146,0.1018,9.5107,20.7104,0.1058
Arizona,Canada,Nonmetallic minerals,14.1727,37.0748,1.1055,5.2372,13.9651,0.4244,9.2353,23.3731,0.7129,9.679,24.4816,0.7471
Arizona,Canada,Metallic ores,79.5529,192.5426,11.7375,77.451,180.9565,11.4273,104.5372,254.9013,15.4236,103.6476,251.6938,15.2925
Arizona,Canada,Gasoline,0.0032,0.0041,0.0028,0.0025,0.0032,0.0022,0.0012,0.0015,0.0011,0.0014,0.0019,0.0013
Arizona,Canada,Fuel oils,0.9497,1.8279,0.6561,0.9052,1.65,0.6255,0.8484,1.6892,0.5865,0.9021,1.7931,0.6235
Arizona,Canada,Coal-n.e.c.,10.65413408,18.68223544,1.813563672,10.66925214,18.70874883,1.818603662,8.581632925,15.04808037,1.478980053,8.583733941,15.05176931,1.479256096
Arizona,Canada,Basic chemicals,4.634001,8.781602379,10.42110225,5.543601233,10.29770293,12.44110277,5.921201297,10.75130309,13.29560292,6.170301347,11.1857032,13.85400303
Arizona,Canada,Pharmaceuticals,0.0502,0.1046,2.0835,0.0239,0.0525,1.4392,0.0696,0.1593,4.3132,0.0724,0.1651,4.4506
Arizona,Canada,Fertilizers,5.5964,9.783,2.4019,6.5269,11.8207,2.801,4.8503,8.8007,2.0813,5.0212,9.1026,2.1549
Arizona,Canada,Chemical prods.,26.4479,58.71900327,126.4118093,26.99719958,58.91180258,140.3422074,29.68170156,63.08190419,153.6185918,30.62520261,64.94210427,158.5589921
Arizona,Canada,Plastics/rubber,9.670601,16.61160138,36.36320358,11.3324012,19.13050177,42.76830322,10.71900066,17.87260169,41.11700216,11.41190076,18.97260089,43.66890247
Arizona,Canada,Logs,0.0298,0.0805,0.0047,0,0,0,0.0473,0.1276,0.0074,0.0471,0.1276,0.0075
Arizona,Canada,Wood prods.,2.9731,5.5361,2.2223,3.2733,5.8188,2.4524,1.9541,3.4306,1.4644,1.9291,3.3744,1.4453
Arizona,Canada,Newsprint/paper,1.382,2.6033,1.1587,0.9232,1.7463,0.7626,1.4366,2.6598,1.1746,1.4434,2.6617,1.1801
Arizona,Canada,Paper articles,1.4063,2.914399969,3.743400015,5.042699962,10.5302,13.36050042,5.648899577,11.75019977,14.964,5.722899885,11.89810012,15.15909973
Arizona,Canada,Printed prods.,0.6683998,1.270900065,5.010508565,0.717000094,1.38900069,4.694309676,0.793700373,1.508899286,6.018991229,0.804000416,1.526199378,6.096791418
Arizona,Canada,Textiles/leather,0.8294,1.640899705,8.626298612,1.04510026,2.03980024,10.88830246,1.918600411,3.693398814,19.18340065,2.023701013,3.889503804,20.22310772
Arizona,Canada,Nonmetal min. prods.,13.12420488,20.66310881,12.73180182,11.28960138,17.00750605,24.12640065,19.74150546,28.72270977,26.17280228,20.01000537,29.08540962,26.03650321
Arizona,Canada,Base metals,14.9296,31.23659929,23.59660097,10.42839935,21.81969956,16.7333,5.393899933,10.98940088,10.39290009,5.696599929,11.58900087,11.03119999
Arizona,Canada,Articles-base metal,17.89170196,32.04980247,58.88600568,19.27250312,32.83780405,68.45790866,19.39530312,33.2561041,67.87500861,20.17020314,34.46110422,70.24160912
Arizona,Canada,Machinery,34.353903,69.37080636,409.3112237,30.46660282,59.52340561,402.3648221,34.98110233,68.96580419,396.4740185,35.15940231,69.01250406,397.6185184
Arizona,Canada,Electronics,11.23049999,22.00540014,707.5981958,10.00500014,18.68660051,866.5735017,9.862299661,18.81769972,789.1470986,9.451299575,17.99679977,755.0336059
Arizona,Canada,Motorized vehicles,18.602503,34.40261204,154.0690211,24.22070188,40.4493095,199.3692119,24.75500285,44.51111123,204.2322198,26.0633029,46.52221137,215.0492203
Arizona,Canada,Transport equip.,2.543300004,6.029899024,110.2966006,1.555699515,3.459998871,99.80055272,0.535799997,1.021999999,27.11480016,0.539199998,1.022099993,27.14120096
Arizona,Canada,Precision instruments,2.000299971,4.137002022,164.2179975,1.847699787,3.775300451,129.4148746,1.927699095,3.843199779,151.1170107,1.997499092,3.968999155,156.007402
Arizona,Canada,Furniture,3.4935,7.119900732,16.28280791,3.835600729,7.760901729,16.9576908,3.887899615,7.325902939,17.8381943,3.960199709,7.431705058,18.13679467
Arizona,Canada,Misc. mfg. prods.,3.652002,6.403905757,77.8711585,7.618805545,13.34351112,159.9625135,5.344303754,9.25960784,210.5137812,5.666803953,9.765308214,220.5516796
Arizona,Canada,Waste/scrap,8.4205,18.66399992,63.71249984,8.931200029,19.65109995,22.08740001,9.443599962,20.48669982,10.98159998,9.914299968,21.51099992,11.56879998
