orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Europe,California,Articles-base metal,-113.3051509,-82.83391195,-508.9969902,-95.51599335,-82.19440442,-446.6384864,-82.85642756,-46.31840668,-409.3575778,-88.8213601,-49.65181065,-438.8216765
Europe,California,Machinery,-101.9381073,-109.9989097,-2310.121316,-136.1226127,-217.8077995,-1999.660095,-139.7707152,-179.9797033,-2556.706056,-149.2974083,-192.2485089,-2730.979952
Europe,California,Electronics,-75.56164994,-97.89290399,-3368.562208,-47.71607031,-67.6720048,-2778.172993,-48.37968232,-54.56790016,-2889.678208,-51.40502316,-57.97830542,-3070.293332
Europe,California,Motorized vehicles,-488.1618324,-191.8055963,-8695.577511,-505.9845759,-193.8307394,-8977.418965,-537.4744974,-181.9670919,-9499.962141,-556.0508814,-188.2557296,-9828.307556
Europe,California,Transport equip.,-5.760500952,-7.635801216,-426.708799,-3.240600499,-1.875200307,-221.6852276,-4.309399587,-2.345000013,-351.6519921,-4.519300333,-2.45940009,-368.7356565
Europe,California,Precision instruments,-17.91900506,-16.82980045,-3489.869834,-17.72790382,-14.63340082,-3441.600114,-17.25680014,-15.48400124,-3116.015135,-18.37349701,-16.48640091,-3317.659982
Europe,California,Furniture,-109.0783994,-44.80340064,-424.0851318,-118.5879965,-52.11410019,-468.8761702,-127.5444967,-68.2013002,-582.0959716,-138.2033056,-73.90090015,-630.7444116
Europe,California,Misc. mfg. prods.,-19.82080549,-25.06419701,-1232.520146,-23.00219949,-26.4258981,-3890.452825,-21.63511015,-30.17059666,-1856.4682,-23.20400646,-32.35779788,-1990.999467
Europe,California,Waste/scrap,-7.212000646,-1.707100596,-94.83446538,-4.496400802,-4.815000308,-125.0460053,-4.537400625,-6.429900343,-98.76449966,-4.643800655,-6.580100348,-101.0739024
Europe,California,Mixed freight,-7.076699763,-3.532200375,-400.3676736,-7.379300298,-2.710501678,-396.1147683,-7.109599688,-2.734199445,-358.0490442,-7.203900061,-2.770300195,-362.8442677
