,fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
675635,,512,423,,,5,,29,1,0.02885,0.027839999999999997,0.025497,0.022924,0.018606,0.016217,0.01415,0.014563,0.015666,0.016676,0.10474000000000001,0.10102,0.09266100000000001,0.08319700000000001,0.067624,0.058802999999999994,0.051315,0.052923000000000005,0.056828,0.060595,0.012771,0.012312,0.011301,0.010153,0.0082692,0.0071665999999999995,0.0062478,0.006477500000000001,0.0069369,0.007396300000000001,0.2206,0.2026,0.1822
952531,807.0,122,132,,3.0,5,,33,2,0.0034,0.0065,0.0041,0.0044,0.0053,0.006,0.0069,0.0078,0.0091,0.0104,0.006,0.0114,0.0073,0.0078,0.0093,0.0106,0.0121,0.0138,0.016,0.0184,0.0015,0.0029,0.0019,0.002,0.0024,0.0027,0.0031,0.0035,0.0041,0.0047,0.0114,0.0073,0.0078
1141771,803.0,512,280,,3.0,1,,35,2,0.0002,0.0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0025,0.0006,0.0013,0.0014,0.0019,0.0024,0.003,0.0039,0.0051,0.0062,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0006,0.0013,0.0014
689881,807.0,341,212,,3.0,5,,29,2,0.2438,0.1452,0.1368,0.1438,0.1684,0.1899,0.2127,0.2388,0.2714,0.3047,0.9481,0.5647,0.5321,0.5592,0.655,0.7387,0.8274,0.9288,1.0557,1.1852,0.2459,0.1465,0.138,0.1451,0.1699,0.1916,0.2146,0.2409,0.2738,0.3074,0.5665,0.5346,0.5625
1396098,,122,363,807.0,,3,3.0,38,3,0.0058,0.0206,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.5109,1.8159,0.0011,0.0011,0.0017,0.0025,0.0037,0.0053,0.0086,0.0106,0.0067,0.0237,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,1.8352,0.0011,0.0012
143635,808.0,132,179,,3.0,1,,7,2,0.0782,0.0723,0.1158,0.1216,0.1488,0.1808,0.2199,0.2702,0.34,0.4097,0.0642,0.0594,0.095,0.0998,0.1222,0.1485,0.1806,0.2219,0.2791,0.3363,0.0824,0.0762,0.122,0.1282,0.1568,0.1906,0.2318,0.2848,0.3583,0.4317,0.0604,0.1018,0.1004
159569,,519,241,806.0,,1,3.0,7,3,0.009000000000000001,0.0074,0.0702,0.0662,0.079,0.1,0.121,0.1429,0.1893,0.2359,0.0214,0.0177,0.1668,0.1575,0.1878,0.2379,0.2876,0.3397,0.4501,0.561,0.0025,0.0021,0.0196,0.0185,0.022000000000000002,0.0279,0.0337,0.0398,0.0528,0.0658,0.0179,0.1786,0.1584
424940,,121,129,803.0,,5,3.0,23,3,0.0079,0.0081,0.0026,0.0025,0.0034,0.0044,0.0055,0.0069,0.0093,0.0107,0.0117,0.012,0.0038,0.0038,0.005,0.0066,0.0082,0.0102,0.0138,0.0159,0.0013,0.0013,0.0004,0.0004,0.0006,0.0007,0.0009,0.0011,0.0015,0.0017,0.0119,0.0038,0.0037
696852,,122,471,805.0,,4,4.0,29,3,0.0006,0.0006,0.0009,0.0009,0.0009,0.0011,0.0013,0.0015,0.0019,0.0023,0.02,0.0184,0.0297,0.0294,0.0314,0.0373,0.0427,0.0501,0.0644,0.0755,0.0005,0.0004,0.0007,0.0007,0.0008,0.0009,0.001,0.0012,0.0016,0.0018,0.0185,0.0298,0.0296
1261363,,61,151,807.0,,4,4.0,36,3,0.0001,0.0001,0.0068,0.0074,0.0093,0.0123,0.0157,0.0199,0.0255,0.0288,0.0601,0.0349,4.1072,4.4285,5.5929,7.3666,9.4576,11.9673,15.3365,17.3177,0.0003,0.0001,0.0176,0.019,0.024,0.0316,0.0406,0.0514,0.0659,0.0744,0.0352,4.2010000000000005,4.5993
1513805,,441,479,,,1,,40,1,0.2778,0.3202,0.3262,0.3207,0.299,0.2873,0.2782,0.2724,0.2697,0.248,3.2569999999999997,3.7543,3.8245,3.7601,3.5049,3.3687,3.2613,3.1931,3.1618,2.9076,0.2916,0.3362,0.3425,0.3367,0.3138,0.3016,0.292,0.2859,0.2831,0.2604,3.7931,3.8866,3.8495
126207,,411,361,,,1,,7,1,4.8831,4.7064,4.6897,4.6903,5.1277,5.5436,6.0091,6.5514,7.1951,7.8438,10.706,10.3186,10.2821,10.2833,11.2423,12.1541,13.1747,14.3636,15.7751,17.1973,14.5935,14.0654,14.0155,14.0173,15.3245,16.5674,17.9586,19.5793,21.5031,23.4418,10.4915,11.0114,10.3447
1127164,,512,531,,,5,,35,1,0.138,0.1511,0.1456,0.1489,0.1588,0.1779,0.1922,0.21,0.2321,0.2452,13.294,14.5525,14.0262,14.3423,15.295,17.1333,18.519000000000002,20.2287,22.362,23.6217,0.4388,0.4804,0.46299999999999997,0.4734,0.5049,0.5655,0.6113,0.6677,0.7381,0.7797,14.5219,13.9794,14.2106
329464,,342,484,,,5,,21,1,0.6038,0.7071,0.6818,0.6194,0.7194,0.8191,0.9489,1.0817,1.2457,1.3622,6.7461,7.8999,7.6178,6.9207,8.0373,9.1518,10.6017,12.0861,13.9174,15.2196,0.988,1.1569,1.1156,1.0135,1.1771,1.3403,1.5526,1.7699,2.0382,2.2289,8.3255,8.5153,8.267999999999999
1655145,,202,111,805.0,,5,4.0,43,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004
87173,807.0,421,513,,3.0,1,,5,2,0.0205,0.0282,0.0445,0.0478,0.0547,0.0624,0.0713,0.0819,0.0952,0.1093,0.055999999999999994,0.077,0.1215,0.1306,0.1495,0.1705,0.1947,0.2237,0.26,0.2986,0.0039,0.0054,0.0085,0.0091,0.0104,0.0119,0.0136,0.0156,0.0182,0.0208,0.0786,0.139,0.1433
619084,,488,212,808.0,,4,4.0,27,3,0.0006,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0005,0.0007,0.0008,0.0006,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0005,0.0007,0.0008,0.0006,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0005,0.0006,0.0008,0.0001,0.0002,0.0002
897938,,371,171,807.0,,4,4.0,32,3,0.0567,0.0641,0.1235,0.1339,0.1527,0.1778,0.1978,0.2221,0.2613,0.2861,0.2779,0.3141,0.605,0.6564,0.7485,0.8712,0.9694,1.0886,1.2805,1.4024,0.032,0.0361,0.0696,0.0755,0.0861,0.1002,0.1115,0.1252,0.1473,0.1613,0.2971,0.5789,0.5687
1418006,,482,489,802.0,,2,2.0,38,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0007,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001
1381861,807.0,131,452,,4.0,1,,38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7281,5.9329,6.3818
